,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_10_6,2425,3575,2,3m5,EMPTY,2m5,EMPTY
_11_6,2425,3575,2,3m5,EMPTY,2m5,EMPTY
_12_6,2425,3575,2,3m5,EMPTY,2m5,EMPTY
_13_6,2425,3575,2,3m5,EMPTY,2m5,EMPTY
_14_6,2425,3575,2,3m5,EMPTY,2m5,EMPTY
_15_6,2425,3575,2,3m5,EMPTY,2m5,EMPTY
_16_6,2425,3575,2,3m5,EMPTY,2m5,EMPTY
_17_6,2425,3575,2,3m5,EMPTY,2m5,EMPTY
_18_6,2425,3575,2,3m5,EMPTY,2m5,EMPTY
_19_6,2665,3335,2,3m0,EMPTY,3m0,EMPTY
_20_6,2720,3280,2,3m0,EMPTY,3m0,EMPTY
_21_6,2855,3145,2,3m0,EMPTY,3m0,EMPTY
_22_6,2910,3090,2,3m0,EMPTY,3m0,EMPTY
_23_6,3060,2940,2,2m5,EMPTY,3m5,EMPTY
_24_6,3075,2925,2,2m5,EMPTY,3m5,EMPTY
_25_6,3220,2780,2,2m5,EMPTY,3m5,EMPTY
_26_6,3460,2540,2,2m5,EMPTY,3m5,EMPTY
_27_6,3675,2325,2,2m0,EMPTY,,
_28_6,3705,2295,2,2m0,EMPTY,,
_29_6,3920,2080,2,2m0,EMPTY,,
_30_6,3980,2020,2,2m0,EMPTY,,
_31_6,4055,1945,2,1m5,EMPTY,,
_32_6,4165,1835,2,1m5,EMPTY,,
_33_6,4250,1750,2,1m5,EMPTY,,
_34_6,4330,1670,2,1m5,EMPTY,,
_35_6,4390,1610,2,1m5,EMPTY,,
_36_6,4420,1580,2,1m5,EMPTY,,
_37_6,4915,1085,2,1m0,EMPTY,,
_38_6,4945,1055,2,1m0,EMPTY,,
_39_6,4960,1040,2,1m0,EMPTY,,
_40_6,4990,1010,2,1m0,EMPTY,,
_41_6,5165,835,2,,,,
_42_6,5185,815,2,,,,
_43_6,5205,795,2,,,,
_44_6,5250,750,2,,,,
_45_6,5260,740,2,,,,
_46_6,5370,630,2,,,,
_47_6,5370,630,2,,,,
_48_6,5375,625,2,,,,
_49_6,5410,590,2,,,,
_50_6,5435,565,2,,,,
_51_6,5440,560,2,,,,
_52_6,5480,520,2,,,,
_53_6,5480,520,2,,,,
_54_6,5480,520,2,,,,
_55_6,5480,520,2,,,,
_56_6,5485,515,2,,,,
_57_6,5485,515,2,,,,
_58_6,5485,515,2,,,,
_59_6,5485,515,2,,,,
_6_60,5485,515,2,,,,
_6_61,5555,445,2,,,,
_6_62,5650,350,2,,,,
_6_63,5715,285,2,,,,
_6_64,5910,90,2,,,,
_6_65,5915,85,2,,,,
_7_8,2470,3530,2,3m5,EMPTY,2m5,EMPTY
_7_9,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_10_7,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_11_7,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_12_7,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_13_7,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_14_7,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_15_7,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_16_7,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_17_7,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_18_7,2485,3515,2,3m5,EMPTY,2m5,EMPTY
_19_7,2725,3275,2,3m0,EMPTY,3m0,EMPTY
_20_7,2780,3220,2,3m0,EMPTY,3m0,EMPTY
_21_7,2915,3085,2,3m0,EMPTY,3m0,EMPTY
_22_7,2970,3030,2,3m0,EMPTY,3m0,EMPTY
_23_7,3120,2880,2,2m5,EMPTY,3m5,EMPTY
_24_7,3135,2865,2,2m5,EMPTY,3m5,EMPTY
_25_7,3280,2720,2,2m5,EMPTY,3m5,EMPTY
_26_7,3520,2480,2,2m0,EMPTY,,
_27_7,3735,2265,2,2m0,EMPTY,,
_28_7,3765,2235,2,2m0,EMPTY,,
_29_7,3980,2020,2,2m0,EMPTY,,
_30_7,4040,1960,2,1m5,EMPTY,,
_31_7,4115,1885,2,1m5,EMPTY,,
_32_7,4225,1775,2,1m5,EMPTY,,
_33_7,4310,1690,2,1m5,EMPTY,,
_34_7,4390,1610,2,1m5,EMPTY,,
_35_7,4450,1550,2,1m5,EMPTY,,
_36_7,4480,1520,2,1m5,EMPTY,,
_37_7,4975,1025,2,1m0,EMPTY,,
_38_7,5005,995,2,,,,
_39_7,5020,980,2,,,,
_40_7,5050,950,2,,,,
_41_7,5225,775,2,,,,
_42_7,5245,755,2,,,,
_43_7,5265,735,2,,,,
_44_7,5310,690,2,,,,
_45_7,5320,680,2,,,,
_46_7,5430,570,2,,,,
_47_7,5430,570,2,,,,
_48_7,5435,565,2,,,,
_49_7,5470,530,2,,,,
_50_7,5495,505,2,,,,
_51_7,5500,500,2,,,,
_52_7,5540,460,2,,,,
_53_7,5540,460,2,,,,
_54_7,5540,460,2,,,,
_55_7,5540,460,2,,,,
_56_7,5545,455,2,,,,
_57_7,5545,455,2,,,,
_58_7,5545,455,2,,,,
