,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_1_57,5555,445,2,,,,
_1_58,5555,445,2,,,,
_1_59,5570,430,2,,,,
_1_60,5570,430,2,,,,
_1_61,5570,430,2,,,,
_1_62,5615,385,2,,,,
_1_63,5705,295,2,,,,
_1_64,5715,285,2,,,,
_1_65,5800,200,2,,,,
_1_66,5860,140,2,,,,
_1_67,5860,140,2,,,,
_1_68,5860,140,2,,,,
_1_69,5860,140,2,,,,
_1_70,5860,140,2,,,,
_1_71,5860,140,2,,,,
_1_72,5860,140,2,,,,
_1_73,5860,140,2,,,,
_1_74,5860,140,2,,,,
_2_3,1960,4040,2,,,2m0,EMPTY
_2_4,1960,4040,2,,,2m0,EMPTY
_2_5,1960,4040,2,,,2m0,EMPTY
_2_6,1960,4040,2,,,2m0,EMPTY
_2_7,1980,4020,2,,,2m0,EMPTY
_2_8,2060,3940,2,3m5,EMPTY,2m5,EMPTY
_2_9,2285,3715,2,3m5,EMPTY,2m5,EMPTY
_10_2,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_11_2,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_12_2,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_13_2,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_14_2,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_15_2,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_16_2,2440,3560,2,3m5,EMPTY,2m5,EMPTY
_17_2,2595,3405,2,3m0,EMPTY,3m0,EMPTY
_18_2,2605,3395,2,3m0,EMPTY,3m0,EMPTY
_19_2,2720,3280,2,3m0,EMPTY,3m0,EMPTY
_2_20,2805,3195,2,3m0,EMPTY,3m0,EMPTY
_2_21,2975,3025,2,3m0,EMPTY,3m0,EMPTY
_2_22,3005,2995,2,2m5,EMPTY,3m5,EMPTY
_2_23,3015,2985,2,2m5,EMPTY,3m5,EMPTY
_2_24,3115,2885,2,2m5,EMPTY,3m5,EMPTY
_2_25,3295,2705,2,2m5,EMPTY,3m5,EMPTY
_2_26,3410,2590,2,2m5,EMPTY,3m5,EMPTY
_2_27,3450,2550,2,2m5,EMPTY,3m5,EMPTY
_2_28,3485,2515,2,2m5,EMPTY,3m5,EMPTY
_2_29,3530,2470,2,2m0,EMPTY,,
_2_30,3560,2440,2,2m0,EMPTY,,
_2_31,3565,2435,2,2m0,EMPTY,,
_2_32,3695,2305,2,2m0,EMPTY,,
_2_33,4080,1920,2,1m5,EMPTY,,
_2_34,4330,1670,2,1m5,EMPTY,,
