mini,maxi,qtt,status,name,day,seq_name
2500,3000,11,OPEN,2m5,5,7m
3000,3500,6,OPEN,3m0,5,7m
3500,4000,2,CRIT_EMPTY,3m5,5,7m
1000,1500,25,FULL,1m0,5,6m
1500,2000,9,OPEN,1m5,5,6m
2000,2500,4,CRIT_EMPTY,2m0,5,6m
2500,3000,10,OPEN,2m5,5,6m
3000,3500,0,EMPTY,3m0,5,6m
3500,4000,1,CRIT_EMPTY,3m5,5,6m
1000,1250,10,FULL,1m0,5,SS
1250,1500,6,OPEN,1m25,5,SS
1500,1750,4,OPEN,1m5,5,SS
1750,2000,2,OPEN,1m75,5,SS
2000,2250,2,OPEN,2m0,5,SS
2250,2500,1,CRIT_EMPTY,2m25,5,SS
2500,2750,6,OPEN,2m5,5,SS
2750,3000,5,OPEN,2m75,5,SS
3000,3250,1,CRIT_EMPTY,3m0,5,SS
3250,3500,0,EMPTY,3m25,5,SS
3500,3750,0,EMPTY,3m5,5,SS
3750,4000,0,EMPTY,3m75,5,SS
1000,1500,6,OPEN,1m0,6,8m
1500,2000,0,EMPTY,1m5,6,8m
2000,2500,1,CRIT_EMPTY,2m0,6,8m
2500,3000,9,OPEN,2m5,6,8m
3000,3500,3,CRIT_EMPTY,3m0,6,8m
3500,4000,3,CRIT_EMPTY,3m5,6,8m
1000,1500,22,CRIT_FULL,1m0,6,7m
1500,2000,13,OPEN,1m5,6,7m
2000,2500,3,CRIT_EMPTY,2m0,6,7m
2500,3000,12,OPEN,2m5,6,7m
3000,3500,2,CRIT_EMPTY,3m0,6,7m
3500,4000,0,EMPTY,3m5,6,7m
1000,1500,25,FULL,1m0,6,6m
1500,2000,12,OPEN,1m5,6,6m
2000,2500,3,CRIT_EMPTY,2m0,6,6m
2500,3000,5,CRIT_EMPTY,2m5,6,6m
3000,3500,4,CRIT_EMPTY,3m0,6,6m
3500,4000,0,EMPTY,3m5,6,6m
1000,1250,10,FULL,1m0,6,SS
1250,1500,6,OPEN,1m25,6,SS
1500,1750,7,OPEN,1m5,6,SS
1750,2000,1,CRIT_EMPTY,1m75,6,SS
2000,2250,2,OPEN,2m0,6,SS
2250,2500,0,EMPTY,2m25,6,SS
2500,2750,5,OPEN,2m5,6,SS
2750,3000,1,CRIT_EMPTY,2m75,6,SS
3000,3250,0,EMPTY,3m0,6,SS
3250,3500,0,EMPTY,3m25,6,SS
3500,3750,0,EMPTY,3m5,6,SS
3750,4000,1,CRIT_EMPTY,3m75,6,SS
1000,1500,7,OPEN,1m0,7,8m
1500,2000,0,EMPTY,1m5,7,8m
2000,2500,1,CRIT_EMPTY,2m0,7,8m
2500,3000,7,OPEN,2m5,7,8m
3000,3500,2,CRIT_EMPTY,3m0,7,8m
3500,4000,3,CRIT_EMPTY,3m5,7,8m
1000,1500,24,CRIT_FULL,1m0,7,7m
1500,2000,14,OPEN,1m5,7,7m
2000,2500,4,CRIT_EMPTY,2m0,7,7m
2500,3000,11,OPEN,2m5,7,7m
3000,3500,7,OPEN,3m0,7,7m
3500,4000,5,CRIT_EMPTY,3m5,7,7m
1000,1500,25,FULL,1m0,7,6m
1500,2000,13,OPEN,1m5,7,6m
2000,2500,10,OPEN,2m0,7,6m
2500,3000,5,CRIT_EMPTY,2m5,7,6m
3000,3500,4,CRIT_EMPTY,3m0,7,6m
3500,4000,0,EMPTY,3m5,7,6m
1000,1250,10,FULL,1m0,7,SS
1250,1500,4,OPEN,1m25,7,SS
1500,1750,9,CRIT_FULL,1m5,7,SS
1750,2000,2,OPEN,1m75,7,SS
2000,2250,5,OPEN,2m0,7,SS
2250,2500,0,EMPTY,2m25,7,SS
2500,2750,8,OPEN,2m5,7,SS
2750,3000,0,EMPTY,2m75,7,SS
3000,3250,2,OPEN,3m0,7,SS
3250,3500,2,OPEN,3m25,7,SS
3500,3750,0,EMPTY,3m5,7,SS
3750,4000,1,CRIT_EMPTY,3m75,7,SS
1000,1500,8,OPEN,1m0,8,8m
1500,2000,0,EMPTY,1m5,8,8m
2000,2500,2,CRIT_EMPTY,2m0,8,8m
2500,3000,12,OPEN,2m5,8,8m
3000,3500,2,CRIT_EMPTY,3m0,8,8m
3500,4000,5,CRIT_EMPTY,3m5,8,8m
1000,1500,25,FULL,1m0,8,7m
1500,2000,20,CRIT_FULL,1m5,8,7m
2000,2500,4,CRIT_EMPTY,2m0,8,7m
2500,3000,11,OPEN,2m5,8,7m
3000,3500,7,OPEN,3m0,8,7m
3500,4000,4,CRIT_EMPTY,3m5,8,7m
1000,1500,25,FULL,1m0,8,6m
1500,2000,11,OPEN,1m5,8,6m
2000,2500,10,OPEN,2m0,8,6m
2500,3000,1,CRIT_EMPTY,2m5,8,6m
3000,3500,2,CRIT_EMPTY,3m0,8,6m
3500,4000,1,CRIT_EMPTY,3m5,8,6m
1000,1250,10,FULL,1m0,8,SS
1250,1500,2,OPEN,1m25,8,SS
1500,1750,9,CRIT_FULL,1m5,8,SS
1750,2000,4,OPEN,1m75,8,SS
2000,2250,5,OPEN,2m0,8,SS
2250,2500,0,EMPTY,2m25,8,SS
2500,2750,4,OPEN,2m5,8,SS
2750,3000,0,EMPTY,2m75,8,SS
